ticker,long_term_projected_earnings_growth
F00000Z0GN,8.0828085
F00000OWP8,7.409603
0P00017OJC,11.203309
F00000V5QN,9.826948
0P0001GYAP,11.610432
F00000OMKZ,12.80079
0P00013ED7,12.1657715
F0GBR064T6,10.661168
F00000QNNS,9.650567
F00000PA6T,8.227518
0P000163AY,5.39822
F00000WC8A,8.375506
F000010ML4,8.842965
0P0000SIH9,9.7448845
F00000XSB3,7.2812233
F00000YP98,7.7722464
F00000PTMT,9.168983
F0GBR04N67,10.349728
F00000YRHV,8.558975
0P0001342L,14.244223
F00000XURE,10.526511
0P00015DQH,9.580615
F00000T8EN,8.782809
F00000NAGD,18.85142
F00000NJZ7,9.3372
F0000020MP,11.176276
0P000099PH,7.500876
F0000009A6,9.399686
F00000MSZA,7.2532697
F0GBR06FLW,5.583908
F0GBR04VDB,9.809475
F000011D48,6.4452977
F000013L9Y,31.314207
F00000VU45,20.058922
0P00002ACW,9.11309
F00000POC2,9.323911
F000014LQU,7.156934
F00000OWJN,8.449466
0P00000NA3,8.57768
F0GBR04HV9,7.146911
F0GBR04OHZ,7.382879
F000003VYM,9.88695
F000000I18,8.914936
F0GBR059O4,10.551983
F000002K89,8.660994
F000000GME,13.598715
F0GBR04V77,16.166365
0P0000M3XC,8.695196
F00000THA8,10.342183
F00000OOOD,4.752305
F00000Y8CQ,11.663429
F00000PZHS,6.1157513
F00000Z36I,11.429832
F000000RTP,8.02375
0P0000IWF0,9.998481
F00000PVHA,9.496778
F0000028B2,12.594673
F0GBR04BPF,7.177782
F0GBR06TVJ,4.7797384
0P0001C5SO,6.938839
F00000W79Q,9.561707
F0GBR05TYN,12.659833
F0000003F5,11.53985
F00000ZMPG,11.734582
0P00013M7O,12.341122
0P0001FTR6,9.273692
F000011S15,10.585433
F0GBR06OGW,6.0036354
F00000NNLJ,11.373713
F0000102KF,14.303391
0P000151IJ,10.748167
F0000000XQ,9.610142
F00000OYNL,5.4806824
0P000151JP,11.957779
F00000OUI5,9.5774975
F00000UICJ,8.942504
F0000124ZN,11.035059
F00000204K,11.952975
