iter	MultiClass
0	1.563450704
1	1.52498446
2	1.487718543
3	1.456773972
4	1.428176626
5	1.405156973
6	1.386357416
7	1.365706876
8	1.346729444
9	1.331715115
10	1.316514444
11	1.302911768
12	1.289831267
13	1.278488044
14	1.267601984
15	1.257470153
16	1.248179917
17	1.24057241
18	1.23465244
19	1.227023601
20	1.220262184
21	1.212696154
22	1.205741698
23	1.198840825
24	1.192033256
25	1.186906904
26	1.181138372
27	1.174363568
28	1.166961133
29	1.159647705
30	1.155035519
31	1.148242183
32	1.143508674
33	1.137733809
34	1.130881832
35	1.126704849
36	1.123039728
37	1.11778103
38	1.113542268
39	1.10847691
40	1.104641792
41	1.100803995
42	1.095669113
43	1.091001983
44	1.086554253
45	1.081276866
46	1.077862787
47	1.0733298
48	1.070512606
49	1.067340665
50	1.063758252
51	1.057783816
52	1.055297838
53	1.052536997
54	1.04878128
55	1.044731755
56	1.04296447
57	1.039738294
58	1.03650215
59	1.033740235
60	1.028878476
61	1.024609754
62	1.021208836
63	1.01831375
64	1.014443947
65	1.011265728
66	1.008584645
67	1.006076792
68	1.003903089
69	1.00079616
70	0.9963685373
71	0.9939850998
72	0.9910681166
73	0.9879880716
74	0.9856220621
75	0.9822873697
76	0.9784826126
77	0.975025898
78	0.9717158811
79	0.9684175091
80	0.9651363613
81	0.9627962029
82	0.9599005413
83	0.9574683068
84	0.954008731
85	0.9518382544
86	0.9494766923
87	0.9477475198
88	0.9449319171
89	0.9416337405
90	0.9383724147
91	0.9361405486
92	0.9341552906
93	0.9316678959
94	0.9297199153
95	0.9265094888
96	0.9248140738
97	0.9216178128
98	0.919045115
99	0.9165221407
100	0.9151036056
101	0.9128379595
102	0.9105511561
103	0.9083014596
104	0.9064524385
105	0.904946209
106	0.9030694797
107	0.900893544
108	0.8988720279
109	0.8957113553
110	0.8930785625
111	0.8898200549
112	0.8877731191
113	0.8853009521
114	0.88324257
115	0.8807675703
116	0.8788616982
117	0.8777561186
118	0.8763890925
119	0.8738894302
120	0.8724155565
121	0.870845346
122	0.8685999958
123	0.8665245674
124	0.8647650896
125	0.8624574451
126	0.8594729779
127	0.8569325074
128	0.8553410649
129	0.8528209811
130	0.8502644882
131	0.8478670008
132	0.8461301241
133	0.844081811
134	0.8416078543
135	0.8397208116
136	0.8369387526
137	0.8346965408
138	0.8328643898
139	0.8319659116
140	0.8299879863
141	0.8278916337
142	0.8262622961
143	0.8238686175
144	0.8222293419
145	0.8209459726
146	0.8183801096
147	0.8162698621
148	0.8140975427
149	0.8126874507
150	0.8112208838
151	0.8096491125
152	0.8080813577
153	0.8065917007
154	0.8050867379
155	0.8038425382
156	0.8017345455
157	0.7999563586
158	0.7975576837
159	0.7962689108
160	0.7943462715
161	0.7925835285
162	0.7906159122
163	0.7875523506
164	0.7861473324
165	0.784705494
166	0.7830349736
167	0.7812135202
168	0.7795847888
169	0.7776729318
170	0.7762856384
171	0.774258551
172	0.7730602184
173	0.7717281475
174	0.7707386357
175	0.7688263644
176	0.767774637
177	0.766414892
178	0.7651219516
179	0.7636674379
180	0.7624493206
181	0.7612232932
182	0.7590459634
183	0.7577777173
184	0.7563587904
185	0.7547144771
186	0.7523501329
187	0.7505171488
188	0.7492236227
189	0.7478290611
190	0.746431979
191	0.7446844013
192	0.7427500605
193	0.7409236708
194	0.7391624525
195	0.7375093962
196	0.7361724967
197	0.734877127
198	0.7334931711
199	0.7324598144
200	0.7305279113
201	0.7288230916
202	0.7276734867
203	0.726030511
204	0.7249491955
205	0.7242239984
206	0.7231987258
207	0.7218367458
208	0.7203165302
209	0.7192256685
210	0.7180202787
211	0.7166250097
212	0.7157687927
213	0.7148789186
214	0.7126637398
215	0.7117472447
216	0.7097666775
217	0.7082814492
218	0.7066267017
219	0.7043452302
220	0.7028522223
221	0.7012217121
222	0.6998959351
223	0.6985679244
224	0.6976311414
225	0.6966105093
226	0.6955070213
227	0.6942073056
228	0.6929912706
229	0.6913445533
230	0.6905820675
231	0.6895242291
232	0.6888315592
233	0.6882174281
234	0.6863682216
235	0.6846656731
236	0.6827885418
237	0.6818116387
238	0.6805131054
239	0.6789666802
240	0.6778405362
241	0.6755570871
242	0.674821625
243	0.6736442094
244	0.6727564008
245	0.6710270456
246	0.6697841472
247	0.6691930078
248	0.6681327243
249	0.6669538322
250	0.6661329423
251	0.6654921575
252	0.6641142915
253	0.6629570529
254	0.6620693638
255	0.6612353733
256	0.6601203398
257	0.6588906259
258	0.6579176011
259	0.6570411579
260	0.6561370507
261	0.6551995735
262	0.6541270291
263	0.6526649567
264	0.6519171955
265	0.6508304708
266	0.649240109
267	0.6478479184
268	0.6470190107
269	0.6458150966
270	0.6447608876
271	0.6436393931
272	0.6430643053
273	0.6412877243
274	0.6405615019
275	0.6392687049
276	0.6382167162
277	0.6364505559
278	0.6350415839
279	0.6340014559
280	0.6331072993
281	0.632491449
282	0.6321074242
283	0.6313066177
284	0.6307633658
285	0.6292717607
286	0.6283939867
287	0.6276282671
288	0.6263153214
289	0.6253990673
290	0.6244104789
291	0.6230333118
292	0.6219268193
293	0.6206733567
294	0.619378742
295	0.6187139689
296	0.6171307793
297	0.6165057161
298	0.6156726044
299	0.6144338337
300	0.6137430532
301	0.6130778591
302	0.612400778
303	0.611657773
304	0.6109126945
305	0.609786573
306	0.6090659852
307	0.6082629571
308	0.6070438352
309	0.6059994904
310	0.6049995456
311	0.6044005074
312	0.603199684
313	0.6022318166
314	0.6010638616
315	0.6000038555
316	0.5986843337
317	0.5973693593
318	0.5968606637
319	0.5955554356
320	0.5948161374
321	0.5942301837
322	0.5934950079
323	0.5925128513
324	0.591316574
325	0.5903397402
326	0.5889482531
327	0.588186235
328	0.5872374726
329	0.5861749461
330	0.5855285208
331	0.5846057476
332	0.5838796834
333	0.5831781278
334	0.5823026216
335	0.5814586098
336	0.580492839
337	0.5792818071
338	0.5782723653
339	0.577658762
340	0.576590934
341	0.5757506541
342	0.5744779438
343	0.5737616507
344	0.5728637533
345	0.5719855039
346	0.5707422539
347	0.5700910764
348	0.5691132482
349	0.5682901393
350	0.567604
351	0.5669197158
352	0.5661138275
353	0.5655001194
354	0.5644201607
355	0.5635784855
356	0.5628262048
357	0.5622565923
358	0.561578666
359	0.5610494255
360	0.559705122
361	0.5585667156
362	0.5573582445
363	0.5565869944
364	0.5554898065
365	0.5546748419
366	0.5535521105
367	0.5528967534
368	0.5521579067
369	0.5515589619
370	0.5502206264
371	0.549785702
372	0.5487617301
373	0.5479760879
374	0.5474600125
375	0.5467878944
376	0.5458692958
377	0.5454703254
378	0.5446814313
379	0.5435612017
380	0.5429280571
381	0.5421952695
382	0.5412409784
383	0.5401040585
384	0.5390003391
385	0.5381111568
386	0.5376303385
387	0.5369179882
388	0.5364000828
389	0.5351139685
390	0.5344366597
391	0.5339493651
392	0.5333479111
393	0.5326750743
394	0.5318443267
395	0.5312507192
396	0.5305158294
397	0.5296574085
398	0.5286057822
399	0.5277092836
400	0.5265009852
401	0.5258292565
402	0.5250473023
403	0.5245228339
404	0.5236630415
405	0.5231708272
406	0.5226558439
407	0.5216044777
408	0.5205507825
409	0.519773027
410	0.5189713449
411	0.518369368
412	0.5175775576
413	0.5170062884
414	0.5163006567
415	0.5157779693
416	0.5149022394
417	0.514044363
418	0.513020511
419	0.5121244895
420	0.511007643
421	0.5102404744
422	0.509647145
423	0.5086387012
424	0.5079389133
425	0.5073155626
426	0.5066152792
427	0.5059311388
428	0.5056546456
429	0.505191522
430	0.5042587311
431	0.5034301317
432	0.502272712
433	0.5014021866
434	0.500777002
435	0.5003295677
436	0.4997797825
437	0.4988615097
438	0.4983051088
439	0.4975970477
440	0.4967689865
441	0.4960903979
442	0.4952655671
443	0.4944847561
444	0.4939450606
445	0.4932975135
446	0.4928405665
447	0.4923013723
448	0.4916900381
449	0.4905779988
450	0.4896629407
451	0.4888157863
452	0.4881661146
453	0.4872844205
454	0.4864944359
455	0.4860262984
456	0.4856220915
457	0.4853314275
458	0.4847996544
459	0.4840077622
460	0.4832701332
461	0.4828054399
462	0.4818588238
463	0.4809404003
464	0.4798214742
465	0.4790457137
466	0.4783051102
467	0.4776904176
468	0.476967486
469	0.4765071884
470	0.4758745074
471	0.475206589
472	0.4745850037
473	0.474090764
474	0.4734832882
475	0.4731840604
476	0.472547859
477	0.4720093425
478	0.471336768
479	0.4706672607
480	0.4699277243
481	0.4691295685
482	0.4686170378
483	0.4682763629
484	0.4677320196
485	0.4673831463
486	0.4669886565
487	0.4665798865
488	0.4659861592
489	0.4651929292
490	0.4644434267
491	0.4638740235
492	0.4634182819
493	0.4629161527
494	0.4626144919
495	0.4618325291
496	0.4611342877
497	0.4607509746
498	0.4599577235
499	0.4594157424
500	0.4590557562
501	0.4586073884
502	0.4581535612
503	0.4576141223
504	0.4571453238
505	0.4565389921
506	0.4563293011
507	0.4558554434
508	0.455341682
509	0.4548583793
510	0.4540937904
511	0.4533945357
512	0.4528613818
513	0.452208081
514	0.4518655613
515	0.4512848227
516	0.4508731387
517	0.4501763581
518	0.4497188853
519	0.4493993314
520	0.448850743
521	0.4483788502
522	0.4480289944
523	0.4470512254
524	0.446654869
525	0.4463206632
526	0.44583277
527	0.4451071087
528	0.444733278
529	0.4444172468
530	0.443970969
531	0.4435914098
532	0.4431750094
533	0.4426614458
534	0.4423759523
535	0.4419736585
536	0.4415303325
537	0.4410315079
538	0.4403764667
539	0.4398263274
540	0.439426906
541	0.438862068
542	0.438345893
543	0.4378247828
544	0.4374712767
545	0.4370458247
546	0.436429211
547	0.4359457072
548	0.435399515
549	0.4349478109
550	0.4343887167
551	0.4337602155
552	0.4333334386
553	0.4331472528
554	0.4327514534
555	0.4322739389
556	0.4318060899
557	0.4314434759
558	0.4310287969
559	0.4307218282
560	0.4299180302
561	0.4295390555
562	0.4291801278
563	0.4287260957
564	0.4279829005
565	0.4274191922
566	0.4271382946
567	0.4264917314
568	0.4260021422
569	0.4256396657
570	0.4252626147
571	0.4247800743
572	0.4242089087
573	0.423912487
574	0.4235610628
575	0.4230750527
576	0.4227148796
577	0.422273187
578	0.4216368712
579	0.4210151946
580	0.4205551002
581	0.4199702894
582	0.4193001762
583	0.4188086898
584	0.418379049
585	0.4181147351
586	0.4176206399
587	0.4171098303
588	0.41671702
589	0.4159002001
590	0.4156121071
591	0.4148777874
592	0.4145228156
593	0.4137770682
594	0.4131319274
595	0.4129278092
596	0.4123450732
597	0.4119639534
598	0.4115666391
599	0.4111046524
600	0.4107475889
601	0.4103471466
602	0.4101500954
603	0.4095649118
604	0.4093864223
605	0.4089066979
606	0.4084099241
607	0.4078667324
608	0.4075537329
609	0.4071215276
610	0.4067328093
611	0.4065838387
612	0.4063461894
613	0.4058413363
614	0.4055964468
615	0.4052485879
616	0.404759607
617	0.4044229635
618	0.4039631155
619	0.4032426554
620	0.4025271889
621	0.4023031865
622	0.4020229552
623	0.4017585422
624	0.4014382047
625	0.4009833917
626	0.400559
627	0.400231366
628	0.3999064702
629	0.3991760783
630	0.3987844931
631	0.3977563754
632	0.3974504491
633	0.3970907326
634	0.3967651401
635	0.395914726
636	0.3955314441
637	0.3949180876
638	0.3945805244
639	0.3942014855
640	0.3936831073
641	0.3931791916
642	0.3927078292
643	0.3921855044
644	0.3917095236
645	0.3912017319
646	0.3909315649
647	0.3907936884
648	0.3903198117
649	0.3899616988
650	0.3896451358
651	0.389363529
652	0.3891921709
653	0.3888503454
654	0.3885812268
655	0.388005909
656	0.3874898504
657	0.3872149363
658	0.386781267
659	0.3863375822
660	0.3861040429
661	0.3857657626
662	0.3854314874
663	0.3850573171
664	0.3847620209
665	0.3844594065
666	0.3839762457
667	0.3832253191
668	0.3828510551
669	0.3826041656
670	0.3822290453
671	0.3816167962
672	0.3811483581
673	0.3807843979
674	0.3804045505
675	0.380166205
676	0.3798203849
677	0.3793476623
678	0.3789540253
679	0.3787863416
680	0.3783651551
681	0.3779943228
682	0.3773829664
683	0.3769982182
684	0.3764373972
685	0.3758308786
686	0.375486114
687	0.3751583576
688	0.3748108274
689	0.3745458452
690	0.3740673442
691	0.37384919
