iter	Passed	Remaining
0	60	60875
1	110	55212
2	160	53399
3	211	52731
4	262	52311
5	319	52886
6	380	54004
7	434	53895
8	499	54971
9	557	55193
10	623	56059
11	695	57297
12	753	57237
13	814	57391
14	894	58715
15	947	58284
16	1003	58017
17	1060	57848
18	1122	57941
19	1176	57632
20	1230	57372
21	1287	57246
22	1368	58137
23	1422	57837
24	1480	57727
25	1538	57619
26	1607	57912
27	1661	57671
28	1716	57475
29	1767	57133
30	1840	57518
31	1901	57526
32	1996	58513
33	2067	58728
34	2138	58951
35	2196	58813
36	2262	58881
37	2335	59134
38	2395	59036
39	2459	59036
40	2528	59153
41	2613	59619
42	2674	59516
43	2731	59344
44	2799	59419
45	2870	59523
46	2970	60225
47	3055	60606
48	3256	63212
49	3380	64224
50	3471	64592
51	3557	64848
52	3628	64830
53	3708	64962
54	3780	64954
55	3855	64998
56	3941	65209
57	4038	65588
58	4116	65648
59	4187	65597
60	4261	65592
61	4333	65554
62	4410	65594
63	4495	65741
64	4565	65666
65	4646	65762
66	4712	65628
67	4778	65500
68	4854	65496
69	4924	65422
70	5006	65510
71	5085	65551
72	5169	65651
73	5236	65528
74	5315	65551
75	5391	65546
76	5461	65462
77	5543	65530
78	5627	65604
79	5701	65572
80	5780	65587
81	5869	65706
82	6000	66293
83	6163	67210
84	6235	67125
85	6313	67099
86	6388	67041
87	6478	67144
88	6573	67284
89	6714	67889
90	6788	67812
91	6863	67735
92	6932	67607
93	6991	67384
94	7075	67401
95	7131	67156
96	7193	66968
97	7262	66844
98	7318	66603
99	7374	66372
100	7432	66159
101	7508	66102
102	7564	65879
103	7623	65681
104	7683	65493
105	7748	65346
106	7802	65121
107	7875	65045
108	7951	64994
109	8032	64994
110	8106	64928
111	8202	65030
112	8289	65067
113	8358	64959
114	8438	64939
115	8524	64965
116	8583	64779
117	8639	64573
118	8706	64458
119	8779	64381
120	8842	64236
121	8908	64110
122	8976	64000
123	9122	64448
124	9214	64499
125	9322	64666
126	9425	64790
127	9519	64849
128	9599	64813
129	9684	64811
130	9773	64835
131	9846	64748
132	9928	64719
133	10027	64802
134	10109	64773
135	10186	64715
136	10269	64693
137	10343	64611
138	10425	64577
139	10506	64539
140	10593	64539
