Id,satisfaction_level
0,2
2,2
6,1
7,1
10,2
17,1
21,1
29,1
42,3
43,1
51,1
52,3
67,3
70,3
76,3
77,1
81,3
84,3
85,1
87,1
90,3
95,1
97,1
104,1
110,3
117,1
128,1
131,2
135,1
137,1
139,1
143,1
155,1
158,1
159,1
160,3
168,1
170,1
178,1
184,2
185,3
187,2
188,1
189,2
190,1
192,2
193,1
199,1
200,1
201,1
209,2
216,1
218,2
219,1
228,1
238,2
242,1
243,1
244,1
248,1
255,2
263,1
272,3
279,2
281,2
282,1
284,1
298,2
306,1
312,1
315,1
317,1
326,2
327,1
333,2
339,2
345,1
349,3
351,1
353,1
362,2
363,1
364,3
366,2
370,2
372,2
381,2
387,2
396,1
399,1
406,2
408,1
413,3
416,1
417,3
427,2
429,3
430,2
452,2
460,1
462,2
466,1
471,1
480,1
485,3
498,1
504,3
507,1
512,1
513,3
515,1
519,2
526,2
539,1
549,1
550,1
554,1
557,1
558,1
564,2
567,2
573,1
594,1
596,1
597,1
611,3
617,2
625,2
630,1
635,1
638,1
641,1
644,1
648,1
656,3
661,1
663,1
664,1
670,2
673,1
685,1
692,2
695,1
698,1
703,1
704,1
707,1
708,1
712,1
724,2
728,1
732,1
736,1
742,1
743,1
746,1
755,1
774,1
783,1
784,3
788,1
803,2
805,1
810,1
816,1
821,3
822,3
825,1
829,1
832,1
833,2
836,3
844,1
849,1
858,3
884,1
887,1
888,3
892,2
894,1
901,1
902,3
922,3
923,1
924,1
926,1
941,2
949,2
950,2
955,2
961,1
966,2
969,1
972,2
973,2
977,1
980,1
988,1
997,3
999,3
1008,3
1015,3
1017,1
1023,3
1025,3
1028,3
1031,1
